Intercept y y2s y3s y4s x x2s x3s x4s w w2s w3s w4s quantile type sex
38.7912 -1.4248 1.4482 -3.6476 -4.2826 0.2581 -0.0037 0.0597 -0.2243 -0.0330 -0.3080 0.4967 -0.2660 0.52 dia F
43.1602 -1.3762 1.3057 -2.4967 -6.1669 0.2217 -0.0018 0.0357 -0.1265 -0.0409 -0.0310 0.0745 -0.0711 0.53 dia F
44.7535 -1.2714 1.1636 -1.6742 -7.0124 0.2031 -0.0006 0.0171 -0.0429 -0.0436 0.1573 -0.2169 0.0706 0.54 dia F
44.9528 -1.1354 1.0103 -0.6896 -9.5126 0.1953 -0.0005 0.0153 -0.0298 -0.0404 0.1044 -0.1372 0.0343 0.55 dia F
39.8113 -0.9011 0.8911 -1.1437 -6.6547 0.2237 -0.0020 0.0227 -0.0406 -0.0358 0.0930 -0.1099 0.0051 0.56 dia F
37.8989 -1.0051 1.0055 -1.5428 -6.9588 0.2482 -0.0029 0.0310 -0.0735 -0.0328 -0.0609 0.1319 -0.1190 0.57 dia F
35.1924 -0.8104 0.8253 -0.5962 -9.3500 0.2601 -0.0037 0.0368 -0.0925 -0.0269 -0.1549 0.2764 -0.1888 0.58 dia F
35.6873 -0.7372 0.8448 -1.3541 -6.8503 0.2540 -0.0041 0.0431 -0.1168 -0.0230 -0.2589 0.4332 -0.2593 0.59 dia F
32.6133 -0.5491 0.7277 -1.3961 -5.5317 0.2691 -0.0053 0.0532 -0.1439 -0.0153 -0.3595 0.5813 -0.3205 0.6 dia F
34.8437 -0.4711 0.6905 -1.4542 -4.7991 0.2492 -0.0052 0.0579 -0.1655 -0.0189 -0.3396 0.5570 -0.3175 0.61 dia F
35.5381 -0.4317 0.6593 -1.2682 -5.2622 0.2433 -0.0053 0.0630 -0.1896 -0.0217 -0.3173 0.5302 -0.3160 0.62 dia F
36.1777 -0.4466 0.6410 -0.9947 -5.8087 0.2409 -0.0052 0.0631 -0.1933 -0.0220 -0.1927 0.3323 -0.2121 0.63 dia F
41.2921 -0.4612 0.5856 -0.5033 -6.0372 0.2021 -0.0034 0.0497 -0.1573 -0.0331 0.0525 -0.0350 -0.0513 0.64 dia F
43.0646 -0.3308 0.3256 1.3124 -9.9318 0.1798 -0.0016 0.0281 -0.0904 -0.0459 0.3232 -0.4202 0.0842 0.65 dia F
44.3551 -0.1948 0.1835 1.9859 -10.8501 0.1628 -0.0011 0.0241 -0.0832 -0.0524 0.5032 -0.6840 0.1900 0.66 dia F
41.1520 0.0212 -0.0243 2.9817 -12.3905 0.1771 -0.0019 0.0273 -0.0838 -0.0470 0.5514 -0.7673 0.2434 0.67 dia F
40.7747 0.1804 -0.1901 4.1333 -15.4608 0.1742 -0.0025 0.0343 -0.0976 -0.0441 0.5815 -0.8266 0.2933 0.68 dia F
42.6723 0.2057 -0.2093 4.4920 -16.8094 0.1599 -0.0024 0.0353 -0.0956 -0.0449 0.6759 -0.9819 0.3834 0.69 dia F
44.4726 0.1842 -0.1287 4.2111 -17.1510 0.1485 -0.0024 0.0365 -0.0871 -0.0360 0.5025 -0.7363 0.2978 0.7 dia F
44.4307 0.0412 0.0455 3.5578 -17.0706 0.1602 -0.0031 0.0461 -0.1195 -0.0272 0.2636 -0.3881 0.1611 0.71 dia F
46.1460 -0.1944 0.3303 2.0667 -14.4506 0.1634 -0.0032 0.0504 -0.1357 -0.0212 0.0591 -0.0927 0.0497 0.72 dia F
48.5522 -0.2845 0.4266 2.1896 -16.3502 0.1537 -0.0035 0.0626 -0.1955 -0.0152 -0.2111 0.3080 -0.1179 0.73 dia F
47.5272 -0.3843 0.5027 1.5489 -14.8051 0.1683 -0.0032 0.0566 -0.1790 -0.0162 -0.1752 0.2648 -0.1172 0.74 dia F
42.3688 -0.2544 0.3590 1.5821 -13.3586 0.2003 -0.0031 0.0394 -0.1000 -0.0230 0.1762 -0.2505 0.0889 0.75 dia F
